2023,1,1000.50,500.75
2023,2,1100.75,550.25
2023,3,950.20,480.50
2023,4,11000,10000
2023,5,13000,10000    
2023,6,12000,10000
2023,7,14000,10000
2023,8,13500,10000
2023,9,13000,10000
2023,10,14000,10000
2023,11,15000,10000
2022,1,16000,10000
2022,2,17000,10000
2022,3,13200,10000
2022,4,11000,10000
2022,5,11000,10000
2022,6,11000,10000
2022,7,11000,10000
2022,8,11000,10000
2022,9,13000,10000
2022,10,11000,10000
2022,11,11000,10000
2022,12,11000,10000
2021,1,11000,10000
2021,2,11000,10000
2021,3,1100,1000
2021,4,11000,10000
2021,5,11000,10000
2021,6,11000,10000
2021,7,11000,10000
2021,8,11000,10000
2021,9,11000,10000
2021,10,11000,10000
2021,11,11000,10000
2021,12,11000,10000
2020,1,11000,1000
2020,2,11000,10000
2020,3,11000,10000
2020,4,11000,10000
2020,5,11000,10000
2020,6,11000,10000
2020,7,11000,10000
2020,8,11000,10000
2020,9,11000,10000
2020,10,11000,10000
2020,11,11000,10000
2020,11,11000,10000
